¿Eres fan de los triples?;¿Cuántos años tienes?;Género;¿En qué distrito de Lima Metropolitana resides o pasas la mayor parte de tu tiempo?;¿Con qué frecuencia consumes triples durante la semana?;¿En qué momento disfrutas más de este tipo de snack? (Selecciona todas las que apliquen);¿Dónde compras tus triples actualmente?;¿Qué valoras más al elegir un triple?;¿Cuál de estas presentaciones de Triple X te parece más atractiva y deliciosa?;¿Qué tipo de cremas o salsas te gustaría que acompañen nuestros triples? (Selecciona todas las que apliquen);¿Tienes en mente alguna crema especial que no viste en la lista anterior y te encantaría que acompañe nuestros triples?;Si tuvieras la oportunidad de probar un nuevo triple fácil de llevar, con rellenos sabrosos y diferentes, ¿qué tanto te interesaría?;¿Qué tan dispuesto(a) estás a probar sabores nuevos en productos como los triples?;¿Con qué te gustaría acompañar tu triple al momento de comerlo? (Selecciona todas las que apliquen);Considerando un triple de buena calidad y tamaño, ¿Cuánto te parecería justo pagar?;¿Dónde te gustaría poder comprar este Triple X? (Selecciona todas las que apliquen);¿Con qué frecuencia utilizarías un servicio de delivery para pedir estos triples?;Si el producto cumple con tus expectativas, ¿qué tan probable sería que lo recomiendes a un amigo o familiar?;¿Tienes algún comentario, sugerencia o idea adicional que quieras compartir con nosotros sobre este nuevo producto?
Sí, me encantan;18 - 24 años;Femenino;Miraflores;Rara vez o nunca;Para el desayuno o lonche;Ferias o mercados locales;Innovación o formato novedoso;La picante (pollo deshilachado, con salsa BBQ);Ketchup;Ay, qué difícil... ¡Quizás una crema de aguacate suave y cítrica!;Poco interesado;Prefiero los sabores clásicos;Prefiero solo el triple, sin acompañamientos;Menos de S/ 11.00;Apps de delivery;Siempre;Probable;Mmm... parece interesante, pero necesito probarlo antes de opinar.
No, no son lo mío;Menos de 18 años;Femenino;Punta Hermosa;Rara vez o nunca;En reuniones con amigos o familiares;Apps de delivery;Tamaño práctico y fácil de llevar;La insaciable (chorizo con chimichurri);Ketchup;¡Chimichurri de cilantro y jalapeño! Le da un toque fresco y picante.;Nada interesado;Prefiero los sabores clásicos;Con papas (fritas, nativas o al hilo);Menos de S/ 11.00;Directo en redes sociales;Rara vez;Nada probable;¡Fácil, rápido, nutritivo y con ideas creativas, genial!
Sí, me encantan;35 - 44 años;Masculino;Chorrillos;Rara vez o nunca;En eventos o celebraciones pequeñas;Apps de delivery;Innovación o formato novedoso;La insaciable (chorizo con chimichurri);Ketchup;Uf, sí... una crema de aguacate y jalapeño, ¡necesito picante ahora! 🥑🌶️;Poco interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Ferias o mercados locales;Nunca;Probable;Visualmente atractivo, pero necesito más info nutricional para recomendarlo.
No, no son lo mío;25 - 34 años;Masculino;Punta Negra;Rara vez o nunca;En reuniones con amigos o familiares;Apps de delivery;Tamaño práctico y fácil de llevar;La insaciable (chorizo con chimichurri);Tártara;¡Ají amarillo cremoso con un toque de cilantro, por favor!;Muy interesado;Prefiero los sabores clásicos;Prefiero solo el triple, sin acompañamientos;Entre S/ 12.00 y S/ 13.00;Apps de delivery;Siempre;Probable;¡Sabor único! Podría inspirar una canción, ¡más variedad, por favor!
Sí, me encantan;18 - 24 años;Femenino;La Victoria;2 a 3 veces por semana;En eventos o celebraciones pequeñas;Directo en redes sociales;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Mayonesa;Mmm... ¿Nutella? ¡Sería épico para mojar y seguir jugando!;Poco interesado;A veces pruebo cosas nuevas;Con cerveza u otra bebida alcohólica;Entre S/ 16.00 y S/ 20.00;Ferias o mercados locales;Rara vez;Probable;¡Rápido, fácil de comer jugando! ¿Hay opción sin azúcar?
Sí, me encantan;25 - 34 años;Femenino;Lurigancho-Chosica;Todos los días;Como almuerzo o cena ligera;Apps de delivery;Tamaño práctico y fácil de llevar;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;¡Ají amarillo cremoso, por favor! Un toque peruano aventurero y delicioso.;Poco interesado;Prefiero los sabores clásicos;Con papas (fritas, nativas o al hilo);Menos de S/ 11.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Siempre;Poco probable;¡Me encanta! Ideal para viajes y snacks saludables, ¡más sabores por favor!
No, no son lo mío;Menos de 18 años;Femenino;Pucusana;Rara vez o nunca;Como almuerzo o cena ligera;Tiendas de conveniencia (Tambo, Oxxo, etc.);Precio accesible;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;Mmm... ¿una crema de aguacate y cilantro, quizás? Suena bien.;Muy interesado;A veces pruebo cosas nuevas;Con cerveza u otra bebida alcohólica;Entre S/ 14.00 y S/ 15.00;Apps de delivery;Rara vez;Nada probable;"Mmm... ¡Se ve genial! Quizás un sabor más ""gamer""? 😉"
No, no son lo mío;35 - 44 años;Femenino;Lince;Rara vez o nunca;Para el desayuno o lonche;Supermercados;Sabor delicioso;La golosito (pollito a la brasa con papitas);Mayonesa;Mantequilla de almendras con miel y un toque de canela, ¡por favor!;Poco interesado;Prefiero los sabores clásicos;Con gaseosa, jugo o agua;Menos de S/ 11.00;Supermercados;Rara vez;Nada probable;¡Perfecto para recargar energías y luego a cuidar mis plantas!
Sí, me encantan;Más de 45 años;Masculino;Pachacámac;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Tiendas de conveniencia (Tambo, Oxxo, etc.);Precio accesible;La insaciable (chorizo con chimichurri);Ketchup;¡Mantequilla de almendras con miel y un toque de canela!;Muy interesado;Me encanta innovar;Con papas (fritas, nativas o al hilo);Entre S/ 14.00 y S/ 15.00;Ferias o mercados locales;Rara vez;Neutro;¡Energía natural, fácil de preparar y deliciosa! ¡Me encanta!
No, no son lo mío;18 - 24 años;Masculino;El Agustino;4 a 6 veces por semana;Como almuerzo o cena ligera;Apps de delivery;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Ají criollo;¡Absolutamente! Una crema de aguacate y cilantro, fresca y vibrante. ✨🥑🌿;Interesado;Me encanta innovar;Prefiero solo el triple, sin acompañamientos;Entre S/ 12.00 y S/ 13.00;Apps de delivery;Nunca;Nada probable;¡Me encanta! Innovador, saludable y perfecto para mi estilo de vida.
Sí, me encantan;25 - 34 años;Femenino;San Juan de Lurigancho;Una vez por semana o menos;En reuniones con amigos o familiares;Supermercados;Tamaño práctico y fácil de llevar;La insaciable (chorizo con chimichurri);Mayonesa;¡Una crema de aguacate y cilantro, súper fresca y nutritiva!;Poco interesado;A veces pruebo cosas nuevas;Prefiero solo el triple, sin acompañamientos;Más de S/ 20.00;Apps de delivery;A veces;Muy probable;¡Genial! Más opciones saludables y fáciles para jóvenes activos, ¡sí!
No, no son lo mío;Menos de 18 años;Masculino;Pueblo Libre;Todos los días;En reuniones con amigos o familiares;Directo en redes sociales;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Mayonesa;Hummus de remolacha asada, ¡sería la combinación perfecta y saludable!;Interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 16.00 y S/ 20.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Rara vez;Probable;Me encanta la idea, pero ¿ingredientes realmente limpios y transparentes?
Sí, me encantan;25 - 34 años;Masculino;Lima Cercado;Una vez por semana o menos;En reuniones con amigos o familiares;Apps de delivery;Precio accesible;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;¡Hummus de pimiento rojo ahumado! Perfecto para energía creativa.;Muy interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Kioscos o carretillas;A veces;Poco probable;¡Perfecto para energía rápida entre ensayo y reuniones! ¡Me encanta!
Sí, me encantan;35 - 44 años;Masculino;Magdalena del Mar;2 a 3 veces por semana;Como almuerzo o cena ligera;Tiendas de conveniencia (Tambo, Oxxo, etc.);Ingredientes naturales/saludables;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;¡Mantequilla de almendras y plátano! Energía natural y deliciosa, ¡perfecta!;Nada interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 16.00 y S/ 20.00;Ferias o mercados locales;A veces;Probable;¡Energía natural y deliciosa! Ideal para mi estilo de vida activo.
Sí, me encantan;18 - 24 años;Masculino;Puente Piedra;2 a 3 veces por semana;Para el desayuno o lonche;Apps de delivery;Sabor delicioso;La golosito (pollito a la brasa con papitas);Ketchup;¡Ají amarillo cremoso con un toque de hierbabuena, por favor! 🌿😋;Nada interesado;Prefiero los sabores clásicos;Con cerveza u otra bebida alcohólica;Menos de S/ 11.00;Directo en redes sociales;Nunca;Neutro;¡Delicioso! Capturaría cada bocado y lo compartiría con el mundo.
Sí, me encantan;35 - 44 años;Femenino;Magdalena del Mar;Rara vez o nunca;Como un snack rápido entre comidas (media mañana/tarde);Apps de delivery;Ingredientes naturales/saludables;La picante (pollo deshilachado, con salsa BBQ);Ketchup;¡Uf, qué difícil! ¡Definitivamente una crema de rocoto con queso andino!;Interesado;A veces pruebo cosas nuevas;Prefiero solo el triple, sin acompañamientos;Menos de S/ 11.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Siempre;Poco probable;¡Me encanta! ¿Podría tener ají amarillo y ser fácil de cultivar?
No, no son lo mío;25 - 34 años;Femenino;Lima Cercado;4 a 6 veces por semana;Como almuerzo o cena ligera;Kioscos o carretillas;Innovación o formato novedoso;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;¡Uhm... sí! Crema de albahaca fresca de mi huerto, ¡porfa! 🌿😊;Muy interesado;Prefiero los sabores clásicos;Con papas (fritas, nativas o al hilo);Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Siempre;Poco probable;¡Me encanta! ¡Quizás con hierbas frescas de mi huerto! 😊
No, no son lo mío;35 - 44 años;Femenino;Lurigancho-Chosica;Rara vez o nunca;En reuniones con amigos o familiares;Kioscos o carretillas;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Mayonesa;¡Aguacate y cilantro, fresca y vibrante! Perfecto para fotos y salud. ✨🥑;Nada interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Menos de S/ 11.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Siempre;Probable;¡Me encanta! Fotos increíbles y recetas fáciles, ¡sería viral! ✨
No, no son lo mío;35 - 44 años;Femenino;Lima Cercado;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Innovación o formato novedoso;La insaciable (chorizo con chimichurri);Ketchup;¡Ay, una de ají amarillo, cremosa y con un toque dulce! ✨;Muy interesado;Prefiero los sabores clásicos;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Supermercados;Nunca;Muy probable;¡Delicioso recuerdo de viaje! Fotografía perfecta para el álbum, ¡más sabores!
No, no son lo mío;Más de 45 años;Femenino;Ancón;Una vez por semana o menos;En eventos o celebraciones pequeñas;Ferias o mercados locales;Sabor delicioso;La picante (pollo deshilachado, con salsa BBQ);Tártara;Mantequilla de maní con miel, ¡sería un hit con los niños!;Muy interesado;No me gusta experimentar;Prefiero solo el triple, sin acompañamientos;Entre S/ 14.00 y S/ 15.00;Kioscos o carretillas;Nunca;Muy probable;Fácil, rápido, nutritivo... ¡y si tuviera fotos bonitas, genial!
No, no son lo mío;35 - 44 años;Femenino;Ate;4 a 6 veces por semana;Como almuerzo o cena ligera;Supermercados;Ingredientes naturales/saludables;La picante (pollo deshilachado, con salsa BBQ);Ketchup;¡Mantequilla de almendras y miel! Energía natural para mi próxima aventura.;Poco interesado;No me gusta experimentar;Con cerveza u otra bebida alcohólica;Entre S/ 16.00 y S/ 20.00;Apps de delivery;Nunca;Probable;¡Me encanta! Energía natural para aventuras y un buen libro, perfecto.
No, no son lo mío;25 - 34 años;Masculino;San Isidro;Todos los días;En reuniones con amigos o familiares;Directo en redes sociales;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Mayonesa;¡Uhm... una crema de aguacate y cilantro, sería genial! ✨🥑;Muy interesado;No me gusta experimentar;Prefiero solo el triple, sin acompañamientos;Menos de S/ 11.00;Apps de delivery;Siempre;Nada probable;¡Me encanta! Quizás más sabores inspirados en series, porfa. 😊
Sí, me encantan;Más de 45 años;Masculino;Chaclacayo;4 a 6 veces por semana;Para el desayuno o lonche;Ferias o mercados locales;Ingredientes naturales/saludables;La insaciable (chorizo con chimichurri);Tártara;Mmm... ¡crema de avellanas con sal, suena épico! (¡Necesito leer para decidir!);Poco interesado;A veces pruebo cosas nuevas;Prefiero solo el triple, sin acompañamientos;Más de S/ 20.00;Ferias o mercados locales;Rara vez;Probable;¡Mmm, pinta bien! ¿Quizás un tamaño más pequeño para probar? 📚✨
Sí, me encantan;Menos de 18 años;Femenino;Comas;Rara vez o nunca;En eventos o celebraciones pequeñas;Directo en redes sociales;Ingredientes naturales/saludables;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;¡Uy, qué rico! Definitivamente, una cremita de ají amarillo con queso fresco.;Poco interesado;A veces pruebo cosas nuevas;Prefiero solo el triple, sin acompañamientos;Entre S/ 14.00 y S/ 15.00;Ferias o mercados locales;Nunca;Neutro;¡Delicioso! Revive sabores peruanos auténticos, ideal para viajeros como yo.
No, no son lo mío;25 - 34 años;Masculino;Santa María del Mar;Todos los días;Como un snack rápido entre comidas (media mañana/tarde);Ferias o mercados locales;Precio accesible;La insaciable (chorizo con chimichurri);Ketchup;Mantequilla de almendras con chocolate negro y un toque de sal marina.;Nada interesado;Me encanta innovar;Con cerveza u otra bebida alcohólica;Entre S/ 14.00 y S/ 15.00;Directo en redes sociales;Rara vez;Muy probable;¡Me encanta! Energía natural, sabor increíble, ideal para músicos activos y estresados.
Sí, me encantan;Menos de 18 años;Femenino;San Isidro;2 a 3 veces por semana;Como almuerzo o cena ligera;Supermercados;Sabor delicioso;La insaciable (chorizo con chimichurri);Ketchup;Ugh, sinceramente, necesito una crema de avellanas y Nutella, ya. 😩;Muy interesado;No me gusta experimentar;Con cerveza u otra bebida alcohólica;Entre S/ 16.00 y S/ 20.00;Apps de delivery;Rara vez;Poco probable;Meh, pinta bien, pero dudo que cambie mi vida. 🙄
Sí, me encantan;Más de 45 años;Femenino;San Borja;Una vez por semana o menos;En eventos o celebraciones pequeñas;Directo en redes sociales;Innovación o formato novedoso;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;¡Definitivamente una crema de ají amarillo con queso andino! 🌶️🧀;Nada interesado;A veces pruebo cosas nuevas;Prefiero solo el triple, sin acompañamientos;Entre S/ 16.00 y S/ 20.00;Directo en redes sociales;Nunca;Poco probable;¡Empaquetado atractivo y fotos espectaculares! ¡Conquistaremos el mundo con Perú!
Sí, me encantan;35 - 44 años;Femenino;El Agustino;Rara vez o nunca;En reuniones con amigos o familiares;Directo en redes sociales;Sabor delicioso;La insaciable (chorizo con chimichurri);Mayonesa;¡Definitivamente lavanda con miel! Un toque floral y dulce inesperado.;Poco interesado;Prefiero los sabores clásicos;Con gaseosa, jugo o agua;Menos de S/ 11.00;Kioscos o carretillas;Rara vez;Neutro;¡Me encanta la innovación! Quizás un toque picante, ¡sería genial!
Sí, me encantan;35 - 44 años;Masculino;Santa Rosa;Rara vez o nunca;Como almuerzo o cena ligera;Directo en redes sociales;Sabor delicioso;La insaciable (chorizo con chimichurri);Mayonesa;Mmm... ¿crema de aguacate y cilantro? Suena refrescante y nutritivo.;Nada interesado;A veces pruebo cosas nuevas;Con cerveza u otra bebida alcohólica;Entre S/ 16.00 y S/ 20.00;Supermercados;Siempre;Neutro;Me atrae, pero necesito algo rápido y fácil de preparar.
Sí, me encantan;35 - 44 años;Masculino;La Victoria;Todos los días;En eventos o celebraciones pequeñas;Kioscos o carretillas;Tamaño práctico y fácil de llevar;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;Mantequilla de almendras con sal marina y un toque de miel.;Interesado;Me encanta innovar;Con papas (fritas, nativas o al hilo);Más de S/ 20.00;Apps de delivery;Nunca;Nada probable;¡Me encanta la energía natural y el enfoque mental que da!
No, no son lo mío;18 - 24 años;Masculino;Jesús María;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Supermercados;Ingredientes naturales/saludables;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;¡Uf, sí! Crema de aguacate y cilantro, ¡sería lo más! 🥑✨;Nada interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Menos de S/ 11.00;Apps de delivery;Rara vez;Probable;¡Wow! ¡Súper fresco, ideal para recetas con mis vegetales del huerto! 🤩
Sí, me encantan;35 - 44 años;Femenino;Chaclacayo;4 a 6 veces por semana;Como almuerzo o cena ligera;Tiendas de conveniencia (Tambo, Oxxo, etc.);Tamaño práctico y fácil de llevar;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;¡Mmm, una de mango bicheo con un toque picante, porfa! 🥭🌶️;Nada interesado;Me encanta innovar;Con cerveza u otra bebida alcohólica;Más de S/ 20.00;Supermercados;Nunca;Neutro;¡Súper! ¿Sabores exóticos inspirados en viajes? ¡Me encantaría probarlos!
No, no son lo mío;Menos de 18 años;Femenino;San Luis;2 a 3 veces por semana;En eventos o celebraciones pequeñas;Directo en redes sociales;Ingredientes naturales/saludables;La picante (pollo deshilachado, con salsa BBQ);Ají criollo;¡Oh, sí! ¿Crema de aguacate y lima, por favor? ¡Suena genial! 🥑✨;Poco interesado;No me gusta experimentar;Con papas (fritas, nativas o al hilo);Entre S/ 16.00 y S/ 20.00;Supermercados;Rara vez;Neutro;¡Me encanta! Quizás menos azúcar, pero ¡súper nutritivo! 😊
No, no son lo mío;Más de 45 años;Femenino;Pueblo Libre;Una vez por semana o menos;Para el desayuno o lonche;Ferias o mercados locales;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Mayonesa;Aguacate y lima, ¡un respiro cremoso y lleno de energía! 🥑✨;Interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Más de S/ 20.00;Ferias o mercados locales;Nunca;Muy probable;¡Me encanta! Necesito esto para calmar el estrés y soñar mejor.
No, no son lo mío;Menos de 18 años;Femenino;Santiago de Surco;2 a 3 veces por semana;En eventos o celebraciones pequeñas;Tiendas de conveniencia (Tambo, Oxxo, etc.);Ingredientes naturales/saludables;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;¡Aguacate y cilantro, por favor! Frescura que eleva la experiencia. 🥑✨;Nada interesado;No me gusta experimentar;Con papas (fritas, nativas o al hilo);Entre S/ 14.00 y S/ 15.00;Ferias o mercados locales;A veces;Poco probable;¡Me encanta! Sabe increíble y me da energía para todo.
Sí, me encantan;25 - 34 años;Femenino;Lima Cercado;Todos los días;Como un snack rápido entre comidas (media mañana/tarde);Supermercados;Sabor delicioso;La golosito (pollito a la brasa con papitas);Mayonesa;¡Mmm, una crema de aguacate y cilantro, súper fresca y viajera! 🥑🌿;Poco interesado;A veces pruebo cosas nuevas;Con cerveza u otra bebida alcohólica;Entre S/ 12.00 y S/ 13.00;Supermercados;A veces;Neutro;¡Delicioso! Podría ser aún mejor con un toque especiado, viajero.
Sí, me encantan;Menos de 18 años;Masculino;Lima Cercado;Rara vez o nunca;Para llevar (al trabajo, estudio, paseo);Tiendas de conveniencia (Tambo, Oxxo, etc.);Sabor delicioso;La golosito (pollito a la brasa con papitas);Tártara;¡Mantequilla de almendras con miel y un toque de canela, por favor! ✨;Muy interesado;A veces pruebo cosas nuevas;Con papas (fritas, nativas o al hilo);Más de S/ 20.00;Directo en redes sociales;Nunca;Poco probable;¡Energía natural que impulsa mis sueños y mi felicidad activa!
Sí, me encantan;25 - 34 años;Femenino;El Agustino;Una vez por semana o menos;Como un snack rápido entre comidas (media mañana/tarde);Tiendas de conveniencia (Tambo, Oxxo, etc.);Ingredientes naturales/saludables;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;Mantequilla de almendras con un toque de sal marina, ¡por favor!;Nada interesado;Prefiero los sabores clásicos;Con cerveza u otra bebida alcohólica;Entre S/ 14.00 y S/ 15.00;Ferias o mercados locales;A veces;Neutro;Fácil, rápido, nutritivo... ¿podría ser más personalizable para familias?
Sí, me encantan;25 - 34 años;Femenino;Lurigancho-Chosica;Todos los días;En eventos o celebraciones pequeñas;Tiendas de conveniencia (Tambo, Oxxo, etc.);Sabor delicioso;La insaciable (chorizo con chimichurri);Tártara;Uf, otra cosa más... ¿alguna con cafeína y sabor a Tailandia?;Poco interesado;A veces pruebo cosas nuevas;Con papas (fritas, nativas o al hilo);Entre S/ 12.00 y S/ 13.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Nunca;Poco probable;Dudo que funcione, pero si facilita viajes, lo pruebo.
Sí, me encantan;Más de 45 años;Femenino;Chaclacayo;Una vez por semana o menos;En reuniones con amigos o familiares;Ferias o mercados locales;Sabor delicioso;La picante (pollo deshilachado, con salsa BBQ);Ketchup;¡Absolutamente! Crema de aguacate y cilantro, fresca y vibrante. ✨🥑;Nada interesado;Me encanta innovar;Con gaseosa, jugo o agua;Entre S/ 12.00 y S/ 13.00;Kioscos o carretillas;Siempre;Muy probable;¡Me encanta! Versatilidad para viajes y recetas innovadoras, ¡genial!
Sí, me encantan;Menos de 18 años;Femenino;Villa María del Triunfo;Todos los días;Como un snack rápido entre comidas (media mañana/tarde);Kioscos o carretillas;Precio accesible;La insaciable (chorizo con chimichurri);Ají criollo;¡Uff, difícil! ¡Definitivamente una de matcha con toques de yuzu! 🤩;Muy interesado;Me encanta innovar;Con papas (fritas, nativas o al hilo);Más de S/ 20.00;Ferias o mercados locales;A veces;Muy probable;¡Wow, increíble! ¡Más sabores exóticos, por favor! ¡Quiero probarlos todos! ✨
Sí, me encantan;Menos de 18 años;Masculino;Villa El Salvador;Todos los días;Como un snack rápido entre comidas (media mañana/tarde);Ferias o mercados locales;Sabor delicioso;La golosito (pollito a la brasa con papitas);Ketchup;Mantequilla de almendras con cúrcuma y pimienta negra, antiinflamatoria y energizante.;Interesado;A veces pruebo cosas nuevas;Con papas (fritas, nativas o al hilo);Más de S/ 20.00;Ferias o mercados locales;A veces;Nada probable;Energía sostenida, sin picos, ideal para cuerpo y mente serena.
Sí, me encantan;18 - 24 años;Femenino;Villa El Salvador;2 a 3 veces por semana;Para llevar (al trabajo, estudio, paseo);Kioscos o carretillas;Innovación o formato novedoso;La picante (pollo deshilachado, con salsa BBQ);Mayonesa;¡Mermelada de higos! Un toque dulce y rápido, perfecto para fotos.;Muy interesado;Prefiero los sabores clásicos;Prefiero solo el triple, sin acompañamientos;Entre S/ 14.00 y S/ 15.00;Supermercados;Nunca;Probable;Fácil, rápido, nutritivo y deja tiempo para fotos familiares. ¡Genial!
Sí, me encantan;18 - 24 años;Masculino;San Juan de Miraflores;Todos los días;Como almuerzo o cena ligera;Supermercados;Sabor delicioso;La picante (pollo deshilachado, con salsa BBQ);Tártara;¡Lavanda con miel y un toque de sal marina, porfa! 💜🍯🧂;Nada interesado;No me gusta experimentar;Con cerveza u otra bebida alcohólica;Más de S/ 20.00;Apps de delivery;A veces;Neutro;¡Suena increíble! ¿Podría tener un maridaje sugerido en la etiqueta? ✨
No, no son lo mío;Más de 45 años;Femenino;San Juan de Miraflores;Una vez por semana o menos;Como almuerzo o cena ligera;Kioscos o carretillas;Sabor delicioso;La golosito (pollito a la brasa con papitas);Mayonesa;¡Mmm, una crema de avellanas con un toque de canela, porfa! ✨;Muy interesado;No me gusta experimentar;Con gaseosa, jugo o agua;Entre S/ 14.00 y S/ 15.00;Directo en redes sociales;Siempre;Probable;¡Delicioso y energético! Perfecto para antes o después de entrenar. 💪
No, no son lo mío;18 - 24 años;Femenino;Miraflores;Rara vez o nunca;Como almuerzo o cena ligera;Supermercados;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Mayonesa;¡Guacamole picante casero! Energía para seguir entrenando después.;Poco interesado;Me encanta innovar;Prefiero solo el triple, sin acompañamientos;Entre S/ 12.00 y S/ 13.00;Supermercados;Siempre;Nada probable;Buen snack post-entreno, pero necesita más proteína y menos azúcar.
No, no son lo mío;18 - 24 años;Masculino;San Juan de Lurigancho;2 a 3 veces por semana;Como un snack rápido entre comidas (media mañana/tarde);Supermercados;Innovación o formato novedoso;La insaciable (chorizo con chimichurri);Mayonesa;¡Guacamole picante o hummus de remolacha, por favor! Algo con punch.;Poco interesado;A veces pruebo cosas nuevas;Con gaseosa, jugo o agua;Entre S/ 16.00 y S/ 20.00;Directo en redes sociales;Siempre;Muy probable;¡Me encanta la energía rápida para entrenar y explorar!
Sí, me encantan;35 - 44 años;Femenino;Villa El Salvador;2 a 3 veces por semana;En eventos o celebraciones pequeñas;Directo en redes sociales;Ingredientes naturales/saludables;La golosito (pollito a la brasa con papitas);Mayonesa;Aguacate y cilantro, ¡un respiro fresco y cremoso para el alma!;Interesado;Prefiero los sabores clásicos;Prefiero solo el triple, sin acompañamientos;Entre S/ 12.00 y S/ 13.00;Supermercados;A veces;Nada probable;¡Me encanta! Necesito esto para calmar el estrés y soñar despierto.
Sí, me encantan;Más de 45 años;Masculino;San Isidro;2 a 3 veces por semana;Como almuerzo o cena ligera;Ferias o mercados locales;Sabor delicioso;La golosito (pollito a la brasa con papitas);Ají criollo;¡Hummus de pimiento rojo asado! Perfecto para un break energizante.;Nada interesado;Prefiero los sabores clásicos;Prefiero solo el triple, sin acompañamientos;Entre S/ 14.00 y S/ 15.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Nunca;Nada probable;¡Me encanta la idea! Más opciones veganas y empaques reciclables, por favor.
Sí, me encantan;Más de 45 años;Masculino;Barranco;Todos los días;Para el desayuno o lonche;Ferias o mercados locales;Precio accesible;La insaciable (chorizo con chimichurri);Mayonesa;¡Definitivamente una crema de choclo dulce, como las que veo en series!;Poco interesado;A veces pruebo cosas nuevas;Con papas (fritas, nativas o al hilo);Más de S/ 20.00;Kioscos o carretillas;Rara vez;Poco probable;¡Súper crujiente y con buen sabor! Más variedad, ¡porfa! 😋
Sí, me encantan;35 - 44 años;Masculino;Miraflores;Todos los días;Para el desayuno o lonche;Kioscos o carretillas;Sabor delicioso;La insaciable (chorizo con chimichurri);Ketchup;¡Definitivamente una crema de aguacate y cilantro, súper fresca y vibrante!;Nada interesado;Me encanta innovar;Con gaseosa, jugo o agua;Menos de S/ 11.00;Tiendas de conveniencia (Tambo, Oxxo, etc.);Siempre;Nada probable;¡Me encanta! Fácil de usar, perfecto para estudiantes apurados y conscientes!
No, no son lo mío;Más de 45 años;Masculino;Chaclacayo;4 a 6 veces por semana;Como almuerzo o cena ligera;Tiendas de conveniencia (Tambo, Oxxo, etc.);Tamaño práctico y fácil de llevar;La picante (pollo deshilachado, con salsa BBQ);Tártara;Definitivamente, una crema de aguacate y jalapeño tostado, sutilmente ahumada.;Muy interesado;No me gusta experimentar;Prefiero solo el triple, sin acompañamientos;Menos de S/ 11.00;Apps de delivery;Siempre;Poco probable;Potencial enorme, pero necesita análisis sensorial profundo y refinamiento.
No, no son lo mío;Más de 45 años;Masculino;Surquillo;Una vez por semana o menos;Para llevar (al trabajo, estudio, paseo);Directo en redes sociales;Precio accesible;La golosito (pollito a la brasa con papitas);Tártara;¡Ay, mi estrés! Una crema de calabaza y jengibre, por favor. ✨;Interesado;Prefiero los sabores clásicos;Con cerveza u otra bebida alcohólica;Entre S/ 16.00 y S/ 20.00;Supermercados;Rara vez;Muy probable;¡Necesito esto en mi vida para desconectar y soñar despierta!
